ITERACJA	NAJLEPSZY_FITNESS	ŚREDNI_FITNESS	DŁUGOŚĆ_DNA
1	1.537940	1.471135	704
2	1.567226	1.491872	696
3	1.597563	1.531381	693
4	1.623381	1.550515	700
5	1.630635	1.590043	691
6	1.633727	1.590413	698
7	1.658795	1.610618	690
8	1.658795	1.618400	690
9	1.658795	1.634982	690
10	1.692437	1.636528	698
11	1.692437	1.637571	698
12	1.727913	1.643366	693
13	1.727913	1.641951	693
14	1.727913	1.646041	693
15	1.727913	1.652163	693
16	1.727913	1.660263	693
17	1.727913	1.649787	693
18	1.728766	1.654778	700
19	1.728766	1.655477	700
20	1.728766	1.660019	700
21	1.728766	1.663054	700
22	1.728766	1.663087	700
23	1.728766	1.667091	700
24	1.728766	1.655191	700
25	1.728766	1.660537	700
26	1.731787	1.665121	688
27	1.731787	1.651997	688
28	1.748587	1.671574	695
29	1.748587	1.662082	695
30	1.750242	1.660490	686
31	1.751683	1.673916	687
32	1.751683	1.668762	687
33	1.753137	1.707312	697
34	1.756306	1.716497	700
35	1.756306	1.723889	700
36	1.756306	1.714942	700
37	1.756306	1.718226	700
38	1.756306	1.723579	700
39	1.756306	1.729342	700
40	1.757458	1.724800	700
41	1.757458	1.727383	700
42	1.757458	1.730163	700
43	1.757458	1.730049	700
44	1.757458	1.721789	700
45	1.757458	1.735450	700
46	1.757458	1.729983	700
47	1.757458	1.724070	700
48	1.757458	1.731490	700
49	1.757458	1.738633	700
50	1.757458	1.744786	700
51	1.757458	1.734226	700
52	1.757458	1.739756	700
53	1.757458	1.737168	700
54	1.757458	1.738044	700
55	1.757458	1.743126	700
56	1.757458	1.742409	700
57	1.757458	1.743338	700
58	1.757458	1.742377	700
59	1.757458	1.737854	700
60	1.757458	1.740074	700
61	1.757458	1.737228	700
62	1.757458	1.747209	700
63	1.757458	1.743487	700
64	1.757458	1.744195	700
65	1.757458	1.743944	700
66	1.757458	1.743355	700
67	1.757458	1.744279	700
68	1.757458	1.743919	700
69	1.757458	1.739121	700
70	1.757458	1.741847	700
71	1.757458	1.742910	700
72	1.757458	1.739242	700
73	1.757458	1.742803	700
74	1.757458	1.743630	700
75	1.757458	1.745215	700
76	1.757458	1.742910	700
77	1.757458	1.744135	700
78	1.757458	1.738391	700
79	1.757458	1.742540	700
80	1.757458	1.739941	700
81	1.757458	1.743126	700
82	1.757458	1.742766	700
83	1.757458	1.740533	700
84	1.757458	1.744998	700
85	1.757458	1.745143	700
86	1.757458	1.741542	700
87	1.757458	1.747736	700
88	1.757458	1.744350	700
89	1.757458	1.745431	700
90	1.757458	1.741980	700
91	1.757458	1.742622	700
92	1.757458	1.744207	700
93	1.757458	1.742910	700
94	1.757458	1.742261	700
95	1.757458	1.744999	700
96	1.757458	1.742838	700
97	1.757458	1.743342	700
98	1.757458	1.744783	700
99	1.757458	1.742262	700
100	1.757458	1.742046	700
